Action #,Decision (Select / Exclude / Defer / Cite only / Resolved),Decision status,Decision date,Owner,Decision rationale,Follow-up,Evidence checked (Y/N),Source note checked (Y/N),Page boundary checked (Y/N),Access/excisions checked (Y/N),Done when,Suggested decision,Priority,Phase,Item,Item type,Chapter/lane,Date,Title,Release/status,Pages,NAID/targets,Decision question,Next action,Why this matters,Linked sheets,Source note/source cue,Catalog URL,PDF URL,Open link
11,,Open,,,,,,,,,Compiler has recorded select/defer/cite-only access posture and visible Source Note/provenance wording agree.,Defer or cite only,Critical,Resolve access,1.014,Confirmed record,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",Restricted - Possibly,35 pages,470426381; CF01404-028,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Presidential Meeting Files, Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989, OA/ID CF01404-028.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf,https://catalog.archives.gov/id/470426381
12,,Open,,,,,,,,,Compiler has recorded select/defer/cite-only access posture and visible Source Note/provenance wording agree.,Defer or cite only,Critical,Resolve access,2.017,Confirmed record,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",Restricted - Possibly,29 pages,470426231; CF01625-020,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program, OA/ID CF01625-020.",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf,https://catalog.archives.gov/id/470426231
13,,Open,,,,,,,,,Compiler has recorded select/defer/cite-only access posture and visible Source Note/provenance wording agree.,Defer or cite only,Critical,Resolve access,2.021,Confirmed record,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",Restricted - Possibly,8 pages,470426238; CF01625-027,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan, OA/ID CF01625-027.",https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf,https://catalog.archives.gov/id/470426238
14,,Open,,,,,,,,,Compiler has recorded select/defer/cite-only access posture and visible Source Note/provenance wording agree.,Defer or cite only,Critical,Resolve access,2.023,Confirmed record,Pakistan,1990-10-09,"NSC/DC Meeting - October 9, 1990 Re: Pakistan",Restricted - Possibly,81 pages,470426240; CF01625-029,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - October 9, 1990 Re: Pakistan, OA/ID CF01625-029.",https://catalog.archives.gov/id/470426240,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-029.pdf,https://catalog.archives.gov/id/470426240
15,,Open,,,,,,,,,Compiler has recorded select/defer/cite-only access posture and visible Source Note/provenance wording agree.,Defer or cite only,Critical,Resolve access,1.001,Confirmed record,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",Restricted - Possibly,30 pages,446394923; 90006-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, OA/ID 90006-001.",https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf,https://catalog.archives.gov/id/446394923
16,,Open,,,,,,,,,Compiler has recorded select/defer/cite-only access posture and visible Source Note/provenance wording agree.,Defer or cite only,Critical,Resolve access,1.002,Confirmed record,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,52 pages,470760975; 90009-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, OA/ID 90009-001.",https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf,https://catalog.archives.gov/id/470760975
17,,Open,,,,,,,,,"Excised text has been reviewed and the row is marked select, defer, or cite-only with an explicit rationale.",Defer pending excisions review,High,Review excisions,3.010,Confirmed record,India,1992-01-31,Memorandum of Conversation,Partial,3 pages,428082131; [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992,"Do the released pages support selection, or should the item be deferred/cited only because of excisions?",Review excisions and decide whether the released text can support selection; record any cite-only rationale.,Partial/excision check: Review excisions and decide whether the released text can support selection; record any cite-only rationale.,compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992. Confidential.",https://catalog.archives.gov/id/428082131,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-01-31--Rao.pdf,https://catalog.archives.gov/id/428082131
18,,Open,,,,,,,,,"Excised text has been reviewed and the row is marked select, defer, or cite-only with an explicit rationale.",Defer pending excisions review,High,Review excisions,2.029,Confirmed record,Pakistan,1992-12-03,Memorandum of Telephone Conversation,Partial,2 pages,428082401; [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]:  December 1992,"Do the released pages support selection, or should the item be deferred/cited only because of excisions?",Review excisions and decide whether the released text can support selection; record any cite-only rationale.,Partial/excision check: Review excisions and decide whether the released text can support selection; record any cite-only rationale.,compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]: December 1992. Confidential.",https://catalog.archives.gov/id/428082401,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-12-03--Sharif.pdf,https://catalog.archives.gov/id/428082401
19,,Open,,,,,,,,,"Title, date, series, OA/ID or source pages, original classification, and provenance have been checked against PDF or citation sheet; release/access status remains in provenance or review notes.",Review before selection,Medium,Finalize source note,2.001,Confirmed record,Pakistan,1989-01-23,Memorandum of Telephone Conversation,Full,1 page,428079777; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, OA/ID or selected source pages, and original classification against the citation sheet or title page. Citation-sheet extraction supplies original classification: Confidential.","Medium boundary #63: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Confidential.",https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf,https://catalog.archives.gov/id/428079777
20,,Open,,,,,,,,,"Title, date, series, OA/ID or source pages, original classification, and provenance have been checked against PDF or citation sheet; release/access status remains in provenance or review notes.",Review before selection,Medium,Finalize source note,2.002,Confirmed record,Pakistan,1989-01-25,Memorandum of Telephone Conversation,Full,1 page,428079809; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, OA/ID or selected source pages, and original classification against the citation sheet or title page. Citation-sheet extraction records no classification marking.","Medium boundary #64: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. No classification marking.",https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf,https://catalog.archives.gov/id/428079809
21,,Open,,,,,,,,,"Title, date, series, OA/ID or source pages, original classification, and provenance have been checked against PDF or citation sheet; release/access status remains in provenance or review notes.",Review before selection,Medium,Finalize source note,3.001,Confirmed record,India,1989-02-23,Memorandum of Conversation,Full,9 pages,428079855; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, OA/ID or selected source pages, and original classification against the citation sheet or title page. Citation-sheet extraction supplies original classification: Confidential.","Medium boundary #66: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Confidential.",https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf,https://catalog.archives.gov/id/428079855
22,,Open,,,,,,,,,"Title, date, series, OA/ID or source pages, original classification, and provenance have been checked against PDF or citation sheet; release/access status remains in provenance or review notes.",Review before selection,Medium,Finalize source note,2.003,Confirmed record,Pakistan,1989-02-24,Memorandum of Conversation,Full,7 pages,428079859; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, OA/ID or selected source pages, and original classification against the citation sheet or title page. Citation-sheet extraction supplies original classification: Secret.","Medium boundary #67: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Secret.",https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf,https://catalog.archives.gov/id/428079859
23,,Open,,,,,,,,,Chapter lane has a conscious coverage decision and any remaining source gap is named rather than implicit.,Resolve lane before volume close,High,Close chapter lane,Chapter lane,Chapter lane,Afghanistan,1989-01-01 to 1992-10-07,"Afghanistan policy, civil war, and aid",Access-heavy,425 pages,Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search,"Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Finish page-boundary screening in Haass and Cheney files, then decide which restricted NSC/H-Files records become selected documents or cite-only context. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Confirmed records: 21,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,,
24,,Open,,,,,,,,,Chapter lane has a conscious coverage decision and any remaining source gap is named rather than implicit.,Resolve lane before volume close,High,Close chapter lane,Chapter lane,Chapter lane,Regional,1989-01-20 to 1990-03-26,Kashmir cross-border crisis,Lead-only lane,,"High: Build an India policy lane beyond leader conversations; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Screen the Kashmir letters and teleconference leads, then decide whether the material belongs in India, Pakistan, or a regional crisis sub-lane. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.",Confirmed records: 0,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,,
25,,Open,,,,,,,,,Chapter lane has a conscious coverage decision and any remaining source gap is named rather than implicit.,Resolve lane before volume close,High,Close chapter lane,Chapter lane,Chapter lane,India,1989-01-20 to 1992-02-24,India leadership and bilateral policy,Gap-linked review,122 pages,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Build staff-file support for the leadership chronology, especially around the 1991-1992 transition to Rao-era policy. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.",Confirmed records: 10,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,,
26,,Open,,,,,,,,,Chapter lane has a conscious coverage decision and any remaining source gap is named rather than implicit.,Resolve lane before volume close,High,Close chapter lane,Chapter lane,Chapter lane,Regional,1989-01-20 to 1992-11-02,Regional South Asia strategy,Gap-linked review,252 pages,"High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Curate Public Papers as locators, not automatic document candidates","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?",Keep true regionwide strategy files distinct from Kashmir and Bangladesh so selection rationale stays clear. Gap cue: Promote Kashmir leads 470426145 and 470426225 into a focused review queue.,Confirmed records: 5,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,,
