Item type,Item ID,Compiler #,Cockpit priority,Urgency score,Phase,Suggested decision,Chapter or lane,Date,Title,Release or status,Pages,NAID or targets,Decision question,Next action,Pending tasks,Linked sheets,Source note or need,Catalog URL,PDF URL
Potential lead,catalog-lead-470426145,,Critical,114,Fix page boundaries,Screen for promotion,Regional: Kashmir,1989-01-20,Letters on Kashmir,High-priority source review lead; Online object available,,470426145,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Critical boundary #7: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Correspondence Files, Letters on Kashmir. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426145,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/correspondence_2554865/41-bpr-nsc-haass_correspondence-cf01479-008.pdf
Potential lead,catalog-lead-470426225,,Critical,114,Fix page boundaries,Screen for promotion,Regional: Kashmir,1990-03-26,"NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir",High-priority source review lead; Online object available,,470426225,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Critical boundary #8: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426225,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-014.pdf
Potential lead,catalog-lead-470426266,,Critical,114,Fix page boundaries,Screen for promotion,Regional: Bangladesh,1992-03-19,"President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992",High-priority source review lead; Online object available,,470426266,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Critical boundary #9: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426266,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-024.pdf
Confirmed record,nsc-source-446394923,1.001,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",Restricted - Possibly,30 pages,446394923; 90006-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #28: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, 90006-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf
Confirmed record,nsc-source-470760975,1.002,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,52 pages,470760975; 90009-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #29: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, 90009-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf
Confirmed record,nsc-source-470760885,1.003,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-02-10,"NSC0001 - February 10, 1989 - Afghanistan",Restricted - Possibly,20 pages,470760885; 90000-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #30: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0001 - February 10, 1989 - Afghanistan, 90000-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760885,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf
Confirmed record,nsc-source-446396813,1.004,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-02-13,"NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",Restricted - Possibly,52 pages,446396813; 90003-004,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #31: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM), 90003-004. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf
Confirmed record,nsc-source-470760979,1.006,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-03-08,"NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,6 pages,470760979; 90009-005,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #45: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan, 90009-005. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760979,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf
Confirmed record,nsc-source-470760888,1.007,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-03-14,"NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",Restricted - Possibly,1 page,470760888; 90000-004,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #46: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM), 90000-004. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760888,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf
Confirmed record,nsc-source-446396815,1.008,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-03-18,"NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",Restricted - Possibly,43 pages,446396815; 90003-006,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #32: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM), 90003-006. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396815,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf
Confirmed record,nsc-source-470760996,3.003,Critical,114,Resolve access,Defer or cite only,India,1989-05-04,"NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",Restricted - Possibly,45 pages,470760996; 90010-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #33: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM), 90010-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760996,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf
Confirmed record,470426218-nsc-dc-deputies-committee-meeting-october-16-1989-re-afghanistan,1.010,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-10-16,"NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan",Restricted - Possibly,18 pages,470426218; CF01625-007,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #47: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan, CF01625-007. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426218,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-007.pdf
